fuel_pathway,emission_type,vehicle_technology,ghg_emissions,unit,year,region,confidence
Conventional Gasoline,Well-to-Pump,Not Applicable,21.92,g CO2e/MJ,2022,US,0.84
Conventional Gasoline,Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),62.33,g CO2e/MJ,2022,US,0.88
Conventional Gasoline,Well-to-Wheel,Conventional Internal Combustion Engine (ICE),84.25,g CO2e/MJ,2022,US,0.73
Conventional Gasoline,Pump-to-Wheel,Hybrid Electric Vehicle (HEV),38.85,g CO2e/MJ,2022,US,0.88
Conventional Gasoline,Well-to-Wheel,Hybrid Electric Vehicle (HEV),60.77,g CO2e/MJ,2022,US,0.8
Conventional Gasoline,Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),47.33,g CO2e/MJ,2022,US,0.81
Conventional Gasoline,Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),69.25,g CO2e/MJ,2022,US,0.8
Conventional Gasoline,Pump-to-Wheel,Flexible Fuel Vehicle (FFV),66.39,g CO2e/MJ,2022,US,0.73
Conventional Gasoline,Well-to-Wheel,Flexible Fuel Vehicle (FFV),88.32,g CO2e/MJ,2022,US,0.77
Reformulated Gasoline,Well-to-Pump,Not Applicable,27.76,g CO2e/MJ,2022,US,0.78
Reformulated Gasoline,Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),56.78,g CO2e/MJ,2022,US,0.81
Reformulated Gasoline,Well-to-Wheel,Conventional Internal Combustion Engine (ICE),84.54,g CO2e/MJ,2022,US,0.86
Reformulated Gasoline,Pump-to-Wheel,Hybrid Electric Vehicle (HEV),36.92,g CO2e/MJ,2022,US,0.87
Reformulated Gasoline,Well-to-Wheel,Hybrid Electric Vehicle (HEV),64.68,g CO2e/MJ,2022,US,0.85
Reformulated Gasoline,Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),44.12,g CO2e/MJ,2022,US,0.82
Reformulated Gasoline,Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),71.89,g CO2e/MJ,2022,US,0.76
Reformulated Gasoline,Pump-to-Wheel,Flexible Fuel Vehicle (FFV),54.43,g CO2e/MJ,2022,US,0.75
Reformulated Gasoline,Well-to-Wheel,Flexible Fuel Vehicle (FFV),82.19,g CO2e/MJ,2022,US,0.74
Low-Sulfur Diesel,Well-to-Pump,Not Applicable,19.31,g CO2e/MJ,2022,US,0.75
Low-Sulfur Diesel,Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),69.51,g CO2e/MJ,2022,US,0.89
Low-Sulfur Diesel,Well-to-Wheel,Conventional Internal Combustion Engine (ICE),88.82,g CO2e/MJ,2022,US,0.89
Low-Sulfur Diesel,Pump-to-Wheel,Hybrid Electric Vehicle (HEV),52.86,g CO2e/MJ,2022,US,0.85
Low-Sulfur Diesel,Well-to-Wheel,Hybrid Electric Vehicle (HEV),72.17,g CO2e/MJ,2022,US,0.87
Low-Sulfur Diesel,Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),51.32,g CO2e/MJ,2022,US,0.84
Low-Sulfur Diesel,Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),70.63,g CO2e/MJ,2022,US,0.89
Low-Sulfur Diesel,Pump-to-Wheel,Flexible Fuel Vehicle (FFV),71.72,g CO2e/MJ,2022,US,0.81
Low-Sulfur Diesel,Well-to-Wheel,Flexible Fuel Vehicle (FFV),91.03,g CO2e/MJ,2022,US,0.89
Liquefied Petroleum Gas (LPG),Well-to-Pump,Not Applicable,24.27,g CO2e/MJ,2022,US,0.82
Liquefied Petroleum Gas (LPG),Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),46.01,g CO2e/MJ,2022,US,0.73
Liquefied Petroleum Gas (LPG),Well-to-Wheel,Conventional Internal Combustion Engine (ICE),70.28,g CO2e/MJ,2022,US,0.75
Liquefied Petroleum Gas (LPG),Pump-to-Wheel,Hybrid Electric Vehicle (HEV),30.55,g CO2e/MJ,2022,US,0.79
Liquefied Petroleum Gas (LPG),Well-to-Wheel,Hybrid Electric Vehicle (HEV),54.82,g CO2e/MJ,2022,US,0.83
Liquefied Petroleum Gas (LPG),Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),34.54,g CO2e/MJ,2022,US,0.78
Liquefied Petroleum Gas (LPG),Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),58.81,g CO2e/MJ,2022,US,0.85
Liquefied Petroleum Gas (LPG),Pump-to-Wheel,Liquefied Petroleum Gas Vehicle (LPGV),45.41,g CO2e/MJ,2022,US,0.74
Liquefied Petroleum Gas (LPG),Well-to-Wheel,Liquefied Petroleum Gas Vehicle (LPGV),69.68,g CO2e/MJ,2022,US,0.81
Liquefied Petroleum Gas (LPG),Pump-to-Wheel,Flexible Fuel Vehicle (FFV),45.84,g CO2e/MJ,2022,US,0.73
Liquefied Petroleum Gas (LPG),Well-to-Wheel,Flexible Fuel Vehicle (FFV),70.11,g CO2e/MJ,2022,US,0.82
Compressed Natural Gas (CNG),Well-to-Pump,Not Applicable,16.24,g CO2e/MJ,2022,US,0.76
Compressed Natural Gas (CNG),Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),44.82,g CO2e/MJ,2022,US,0.84
Compressed Natural Gas (CNG),Well-to-Wheel,Conventional Internal Combustion Engine (ICE),61.06,g CO2e/MJ,2022,US,0.84
Compressed Natural Gas (CNG),Pump-to-Wheel,Hybrid Electric Vehicle (HEV),34.67,g CO2e/MJ,2022,US,0.74
Compressed Natural Gas (CNG),Well-to-Wheel,Hybrid Electric Vehicle (HEV),50.91,g CO2e/MJ,2022,US,0.71
Compressed Natural Gas (CNG),Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),32.38,g CO2e/MJ,2022,US,0.78
Compressed Natural Gas (CNG),Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),48.62,g CO2e/MJ,2022,US,0.87
Compressed Natural Gas (CNG),Pump-to-Wheel,Compressed Natural Gas Vehicle (CNGV),43.15,g CO2e/MJ,2022,US,0.73
Compressed Natural Gas (CNG),Well-to-Wheel,Compressed Natural Gas Vehicle (CNGV),59.39,g CO2e/MJ,2022,US,0.89
Compressed Natural Gas (CNG),Pump-to-Wheel,Flexible Fuel Vehicle (FFV),42.73,g CO2e/MJ,2022,US,0.82
Compressed Natural Gas (CNG),Well-to-Wheel,Flexible Fuel Vehicle (FFV),58.97,g CO2e/MJ,2022,US,0.85
Liquefied Natural Gas (LNG),Well-to-Pump,Not Applicable,24.56,g CO2e/MJ,2022,US,0.72
Liquefied Natural Gas (LNG),Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),39.04,g CO2e/MJ,2022,US,0.82
Liquefied Natural Gas (LNG),Well-to-Wheel,Conventional Internal Combustion Engine (ICE),63.6,g CO2e/MJ,2022,US,0.88
Liquefied Natural Gas (LNG),Pump-to-Wheel,Hybrid Electric Vehicle (HEV),27.97,g CO2e/MJ,2022,US,0.85
Liquefied Natural Gas (LNG),Well-to-Wheel,Hybrid Electric Vehicle (HEV),52.53,g CO2e/MJ,2022,US,0.87
Liquefied Natural Gas (LNG),Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),25.49,g CO2e/MJ,2022,US,0.76
Liquefied Natural Gas (LNG),Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),50.04,g CO2e/MJ,2022,US,0.78
Liquefied Natural Gas (LNG),Pump-to-Wheel,Compressed Natural Gas Vehicle (CNGV),39.15,g CO2e/MJ,2022,US,0.8
Liquefied Natural Gas (LNG),Well-to-Wheel,Compressed Natural Gas Vehicle (CNGV),63.71,g CO2e/MJ,2022,US,0.7
Liquefied Natural Gas (LNG),Pump-to-Wheel,Flexible Fuel Vehicle (FFV),37.17,g CO2e/MJ,2022,US,0.79
Liquefied Natural Gas (LNG),Well-to-Wheel,Flexible Fuel Vehicle (FFV),61.73,g CO2e/MJ,2022,US,0.89
Ethanol from Corn,Well-to-Pump,Not Applicable,16.2,g CO2e/MJ,2022,US,0.8
Ethanol from Corn,Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),50.19,g CO2e/MJ,2022,US,0.87
Ethanol from Corn,Well-to-Wheel,Conventional Internal Combustion Engine (ICE),66.39,g CO2e/MJ,2022,US,0.71
Ethanol from Corn,Pump-to-Wheel,Hybrid Electric Vehicle (HEV),34.74,g CO2e/MJ,2022,US,0.9
Ethanol from Corn,Well-to-Wheel,Hybrid Electric Vehicle (HEV),50.94,g CO2e/MJ,2022,US,0.86
Ethanol from Corn,Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),41.72,g CO2e/MJ,2022,US,0.78
Ethanol from Corn,Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),57.91,g CO2e/MJ,2022,US,0.72
Ethanol from Corn,Pump-to-Wheel,Flexible Fuel Vehicle (FFV),49.73,g CO2e/MJ,2022,US,0.78
Ethanol from Corn,Well-to-Wheel,Flexible Fuel Vehicle (FFV),65.93,g CO2e/MJ,2022,US,0.87
Ethanol from Sugarcane,Well-to-Pump,Not Applicable,13.87,g CO2e/MJ,2022,US,0.79
Ethanol from Sugarcane,Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),35.89,g CO2e/MJ,2022,US,0.8
Ethanol from Sugarcane,Well-to-Wheel,Conventional Internal Combustion Engine (ICE),49.76,g CO2e/MJ,2022,US,0.82
Ethanol from Sugarcane,Pump-to-Wheel,Hybrid Electric Vehicle (HEV),23.05,g CO2e/MJ,2022,US,0.88
Ethanol from Sugarcane,Well-to-Wheel,Hybrid Electric Vehicle (HEV),36.92,g CO2e/MJ,2022,US,0.88
Ethanol from Sugarcane,Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),25.81,g CO2e/MJ,2022,US,0.73
Ethanol from Sugarcane,Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),39.68,g CO2e/MJ,2022,US,0.72
Ethanol from Sugarcane,Pump-to-Wheel,Flexible Fuel Vehicle (FFV),38.7,g CO2e/MJ,2022,US,0.86
Ethanol from Sugarcane,Well-to-Wheel,Flexible Fuel Vehicle (FFV),52.57,g CO2e/MJ,2022,US,0.81
Ethanol from Cellulosic Biomass,Well-to-Pump,Not Applicable,10.91,g CO2e/MJ,2022,US,0.82
Ethanol from Cellulosic Biomass,Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),35.67,g CO2e/MJ,2022,US,0.81
Ethanol from Cellulosic Biomass,Well-to-Wheel,Conventional Internal Combustion Engine (ICE),46.57,g CO2e/MJ,2022,US,0.82
Ethanol from Cellulosic Biomass,Pump-to-Wheel,Hybrid Electric Vehicle (HEV),21.72,g CO2e/MJ,2022,US,0.82
Ethanol from Cellulosic Biomass,Well-to-Wheel,Hybrid Electric Vehicle (HEV),32.63,g CO2e/MJ,2022,US,0.88
Ethanol from Cellulosic Biomass,Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),27.38,g CO2e/MJ,2022,US,0.84
Ethanol from Cellulosic Biomass,Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),38.29,g CO2e/MJ,2022,US,0.89
Ethanol from Cellulosic Biomass,Pump-to-Wheel,Flexible Fuel Vehicle (FFV),33.63,g CO2e/MJ,2022,US,0.73
Ethanol from Cellulosic Biomass,Well-to-Wheel,Flexible Fuel Vehicle (FFV),44.54,g CO2e/MJ,2022,US,0.76
Biodiesel from Soybean,Well-to-Pump,Not Applicable,10.55,g CO2e/MJ,2022,US,0.83
Biodiesel from Soybean,Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),28.99,g CO2e/MJ,2022,US,0.82
Biodiesel from Soybean,Well-to-Wheel,Conventional Internal Combustion Engine (ICE),39.54,g CO2e/MJ,2022,US,0.78
Biodiesel from Soybean,Pump-to-Wheel,Hybrid Electric Vehicle (HEV),18.49,g CO2e/MJ,2022,US,0.72
Biodiesel from Soybean,Well-to-Wheel,Hybrid Electric Vehicle (HEV),29.04,g CO2e/MJ,2022,US,0.77
Biodiesel from Soybean,Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),21.26,g CO2e/MJ,2022,US,0.77
Biodiesel from Soybean,Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),31.82,g CO2e/MJ,2022,US,0.8
Biodiesel from Soybean,Pump-to-Wheel,Flexible Fuel Vehicle (FFV),29.35,g CO2e/MJ,2022,US,0.7
Biodiesel from Soybean,Well-to-Wheel,Flexible Fuel Vehicle (FFV),39.9,g CO2e/MJ,2022,US,0.84
Biodiesel from Algae,Well-to-Pump,Not Applicable,18.63,g CO2e/MJ,2022,US,0.73
Biodiesel from Algae,Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),33.16,g CO2e/MJ,2022,US,0.74
Biodiesel from Algae,Well-to-Wheel,Conventional Internal Combustion Engine (ICE),51.78,g CO2e/MJ,2022,US,0.87
Biodiesel from Algae,Pump-to-Wheel,Hybrid Electric Vehicle (HEV),20.9,g CO2e/MJ,2022,US,0.82
Biodiesel from Algae,Well-to-Wheel,Hybrid Electric Vehicle (HEV),39.53,g CO2e/MJ,2022,US,0.74
Biodiesel from Algae,Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),23.75,g CO2e/MJ,2022,US,0.72
Biodiesel from Algae,Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),42.38,g CO2e/MJ,2022,US,0.83
Biodiesel from Algae,Pump-to-Wheel,Flexible Fuel Vehicle (FFV),34.01,g CO2e/MJ,2022,US,0.75
Biodiesel from Algae,Well-to-Wheel,Flexible Fuel Vehicle (FFV),52.64,g CO2e/MJ,2022,US,0.74
Renewable Diesel,Well-to-Pump,Not Applicable,25.97,g CO2e/MJ,2022,US,0.71
Renewable Diesel,Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),69.73,g CO2e/MJ,2022,US,0.77
Renewable Diesel,Well-to-Wheel,Conventional Internal Combustion Engine (ICE),95.7,g CO2e/MJ,2022,US,0.85
Renewable Diesel,Pump-to-Wheel,Hybrid Electric Vehicle (HEV),55.17,g CO2e/MJ,2022,US,0.88
Renewable Diesel,Well-to-Wheel,Hybrid Electric Vehicle (HEV),81.14,g CO2e/MJ,2022,US,0.85
Renewable Diesel,Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),47.58,g CO2e/MJ,2022,US,0.77
Renewable Diesel,Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),73.56,g CO2e/MJ,2022,US,0.75
Renewable Diesel,Pump-to-Wheel,Flexible Fuel Vehicle (FFV),73.94,g CO2e/MJ,2022,US,0.72
Renewable Diesel,Well-to-Wheel,Flexible Fuel Vehicle (FFV),99.91,g CO2e/MJ,2022,US,0.9
Hydrogen from Natural Gas,Well-to-Pump,Not Applicable,16.4,g CO2e/MJ,2022,US,0.7
Hydrogen from Natural Gas,Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),52.0,g CO2e/MJ,2022,US,0.78
